epoch,disease_head_accuracy,disease_head_loss,learning_rate,loss,severity_head_accuracy,severity_head_loss,stress_head_accuracy,stress_head_loss,val_disease_head_accuracy,val_disease_head_loss,val_loss,val_severity_head_accuracy,val_severity_head_loss,val_stress_head_accuracy,val_stress_head_loss
2,0.6280117630958557,1.026313304901123,9.999999747378752e-06,1.3116973638534546,0.8334965705871582,0.3784870207309723,0.8669931292533875,0.3162485957145691,0.6977152824401855,0.7979311347007751,0.9991899132728577,0.8980667591094971,0.2593850791454315,0.9270650148391724,0.1981777399778366
3,0.6585700511932373,0.9383004903793335,9.999999747378752e-06,1.1868371963500977,0.861508309841156,0.3250376582145691,0.8887365460395813,0.279438316822052,0.7161687016487122,0.744635283946991,0.9285004734992981,0.8998242616653442,0.23628412187099457,0.9340949058532715,0.1815459430217743
4,0.6799216270446777,0.8644543886184692,9.999999747378752e-06,1.0867302417755127,0.8660137057304382,0.2931818664073944,0.9016650319099426,0.24869847297668457,0.7231985926628113,0.7052030563354492,0.8755335211753845,0.9077328443527222,0.21834664046764374,0.9358523488044739,0.1684820055961609
5,0.6936336755752563,0.8230320811271667,9.999999747378752e-06,1.0392061471939087,0.874828577041626,0.28744345903396606,0.9057786464691162,0.24086232483386993,0.7363796234130859,0.6744019389152527,0.8358747363090515,0.9103690981864929,0.2069236934185028,0.9358523488044739,0.15960301458835602
6,0.71694415807724,0.7705602645874023,9.999999747378752e-06,0.9646112322807312,0.8824681639671326,0.25635048747062683,0.9106758236885071,0.22146086394786835,0.7495606541633606,0.6496322154998779,0.8031846284866333,0.9147627353668213,0.19595924019813538,0.9393672943115234,0.1528080254793167
7,0.7228207588195801,0.7391296625137329,9.999999747378752e-06,0.927729606628418,0.8897159695625305,0.24843458831310272,0.9138100147247314,0.21015390753746033,0.7530755996704102,0.6324283480644226,0.7815423011779785,0.9173989295959473,0.1911419779062271,0.940246045589447,0.14692728221416473
8,0.7286973595619202,0.7198379039764404,9.999999747378752e-06,0.8975237607955933,0.8932419419288635,0.23429958522319794,0.92164546251297,0.2007661759853363,0.7627416253089905,0.6072519421577454,0.7499316930770874,0.9209138751029968,0.18174263834953308,0.9420034885406494,0.1424131840467453
9,0.737316370010376,0.700181245803833,9.999999747378752e-06,0.8764936327934265,0.895200788974762,0.2361099272966385,0.9234084486961365,0.1949489414691925,0.7706502676010132,0.5910396575927734,0.7254852056503296,0.92530757188797,0.16838598251342773,0.9463971853256226,0.13824211061000824
10,0.7406464219093323,0.6725858449935913,9.999999747378752e-06,0.8338606357574463,0.9118511080741882,0.21145550906658173,0.9302644729614258,0.18286964297294617,0.7741652131080627,0.582876443862915,0.7112256288528442,0.9332161545753479,0.15984123945236206,0.948154628276825,0.13270561397075653
11,0.7586679458618164,0.654180645942688,9.999999747378752e-06,0.8088042736053467,0.9116552472114563,0.20228442549705505,0.9351615905761719,0.17373856902122498,0.7803163528442383,0.5622943639755249,0.6891924738883972,0.9323374629020691,0.15791422128677368,0.948154628276825,0.13199353218078613
12,0.7633692622184753,0.6339808106422424,9.999999747378752e-06,0.7855004668235779,0.9096964001655579,0.2014051377773285,0.9371204972267151,0.16858015954494476,0.7803163528442383,0.5538276433944702,0.6791129112243652,0.9305799603462219,0.15745143592357635,0.9490333795547485,0.12778422236442566
13,0.7643486857414246,0.6204707026481628,9.999999747378752e-06,0.7662784457206726,0.9208618998527527,0.18940795958042145,0.9390793442726135,0.16586516797542572,0.7891036868095398,0.5392606258392334,0.6581007838249207,0.9332161545753479,0.14781691133975983,0.9499121308326721,0.12320009618997574
14,0.7715964913368225,0.6022994518280029,9.999999747378752e-06,0.7416458129882812,0.9206660389900208,0.18587139248847961,0.944564163684845,0.15506774187088013,0.7970123291015625,0.5265674591064453,0.6420703530311584,0.9340949058532715,0.14307664334774017,0.9525483250617981,0.12062112241983414
15,0.7847208380699158,0.5792696475982666,9.999999747378752e-06,0.7208150625228882,0.9208618998527527,0.1874915063381195,0.9406464099884033,0.15875709056854248,0.7996485233306885,0.515666663646698,0.6290456056594849,0.9349736571311951,0.14024801552295685,0.9507908821105957,0.11877642571926117
16,0.7845249772071838,0.5831864476203918,9.999999747378752e-06,0.7178595662117004,0.9226248860359192,0.18015944957733154,0.9435847401618958,0.14828996360301971,0.7996485233306885,0.5101861953735352,0.6184360980987549,0.9367311000823975,0.13253553211688995,0.9525483250617981,0.1149846687912941
17,0.7902056574821472,0.5627767443656921,9.999999747378752e-06,0.6922163367271423,0.9286973476409912,0.16963127255439758,0.9435847401618958,0.14742860198020935,0.803163468837738,0.4989440143108368,0.6064422726631165,0.9349736571311951,0.1327190101146698,0.9525483250617981,0.11264877766370773
18,0.7998040914535522,0.5244788527488708,9.999999747378752e-06,0.6480337977409363,0.9292849898338318,0.16029733419418335,0.9459353685379028,0.14186185598373413,0.8075571060180664,0.4966982305049896,0.6058844923973083,0.9384886026382446,0.13630206882953644,0.9534270763397217,0.11233299225568771
19,0.8078354597091675,0.5264134407043457,9.999999747378752e-06,0.6471599340438843,0.9328109622001648,0.15834084153175354,0.9473065733909607,0.13639405369758606,0.8128295540809631,0.48292076587677,0.588683009147644,0.940246045589447,0.1305491179227829,0.9543058276176453,0.11119396239519119
